Ind,Treatment,Trial,Date,Time,Tank,TestSize,Weight,Tubefeet,Spines,LossofAdhesion,Cage Rotations,Colour,TubeProb,SpineProb
1,8,1,24/11/2025,Morning,5,30.5,14.4,15.6,19.7,21.7,5,Orange,1,1
2,8,1,24/11/2025,Morning,5,27,10.3,NA,20.2,23.2,3,Pink,0,1
3,8,1,24/11/2025,Morning,5,26,11.15,13.9,NA,24.4,6,Purple,1,0
4,8,1,24/11/2025,Morning,5,32.5,15.36,NA,NA,22.5,3,Yellow,0,0
5,8,1,24/11/2025,Morning,5,26,10.82,15.1,15.8,24.6,3,Blue,1,1
6,8,1,24/11/2025,Morning,5,30,14.78,14,NA,21,4,Gold,1,0
7,8,1,24/11/2025,Morning,5,27.5,10.68,10,NA,20.5,4,Green,1,0
8,8,1,24/11/2025,Morning,5,34,16.84,19.8,18,23.7,3,Brown,1,1
9,8,1,24/11/2025,Morning,5,25.5,9.92,13.5,25.4,24.7,4,NeonYellow,1,1
10,8,1,24/11/2025,Morning,5,27,10.87,NA,NA,21.6,4,Black,0,0
11,14,1,24/11/2025,Afternoon,8,28,12.41,20.1,25,27.1,5,Purple,1,1
12,14,1,24/11/2025,Afternoon,8,28,10.34,18,NA,21.3,3,Blue,1,0
13,14,1,24/11/2025,Afternoon,8,29,11.77,NA,16,20.9,4,Pink,0,1
14,14,1,24/11/2025,Afternoon,8,32,15.53,22.8,23,27.6,4,Yellow,1,1
15,14,1,24/11/2025,Afternoon,8,24,6.45,19.5,NA,26.3,4,Orange,1,0
16,14,1,24/11/2025,Afternoon,8,27,9.58,20.3,NA,27.4,2,Gold,1,0
17,14,1,24/11/2025,Afternoon,8,31,13.19,20.3,NA,27,2,Black,1,0
18,14,1,24/11/2025,Afternoon,8,26,8.52,21.6,23.7,26.7,3,NeonYellow,1,1
19,14,1,24/11/2025,Afternoon,8,31,14.33,22,NA,26.7,4,Green,1,0
20,14,1,24/11/2025,Afternoon,8,29.5,10.61,19.3,24.2,27.1,2,Brown,1,1
21,14,1,25/11/2025,Morning,10,34,18.79,20.7,20.9,26.5,1,Orange,1,1
22,14,1,25/11/2025,Morning,10,23,7.87,17.5,20.7,25,3,Pink,1,1
23,14,1,25/11/2025,Morning,10,35,21.46,15.5,NA,24.2,2,Blue,1,0
24,14,1,25/11/2025,Morning,10,24,7.71,20.2,NA,28.3,3,Purple,1,0
25,14,1,25/11/2025,Morning,10,24,6.78,20.2,NA,24.5,5,Yellow,1,0
26,14,1,25/11/2025,Morning,10,34,23.64,21.6,NA,26.7,2,NeonYellow,1,0
27,14,1,25/11/2025,Morning,10,26,10.89,21.6,NA,27.1,1,Brown,1,0
28,14,1,25/11/2025,Morning,10,25,7.3,16.9,NA,30,5,Black,1,0
29,14,1,25/11/2025,Morning,10,23,6.7,19.4,20.2,27.8,4,Gold,1,1
30,14,1,25/11/2025,Morning,10,23,7.06,18.5,21.7,23.7,1,Green,1,1
31,8,1,25/11/2025,Afternoon,9,33,21.02,14.4,NA,20.4,4,Yellow,1,0
32,8,1,25/11/2025,Afternoon,9,22,6.18,13.9,NA,23.5,1,Blue,1,0
33,8,1,25/11/2025,Afternoon,9,32,17.78,13.1,17.8,24.6,2,Purple,1,1
34,8,1,25/11/2025,Afternoon,9,24,10.34,10.9,NA,19.5,5,Orange,1,0
35,8,1,25/11/2025,Afternoon,9,24,6.95,13.3,19,21.5,3,Pink,1,1
36,8,1,25/11/2025,Afternoon,9,27,8.76,13.2,NA,21.4,4,Green,1,0
37,8,1,25/11/2025,Afternoon,9,25,7.56,12.1,15,24.2,2,Brown,1,1
38,8,1,25/11/2025,Afternoon,9,27,9.27,14.3,NA,19.5,3,Gold,1,0
39,8,1,25/11/2025,Afternoon,9,24,6.52,10.2,NA,20.6,3,NeonYellow,1,0
40,8,1,25/11/2025,Afternoon,9,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,14,2,01/12/2025,Morning,8,30,11.36,18,23.7,23.8,2,Pink,1,1
2,14,2,01/12/2025,Morning,8,23,6.36,19.7,NA,25.8,1,Orange,1,0
3,14,2,01/12/2025,Morning,8,34,15.37,24.2,NA,25.8,3,Yellow,1,0
