Ind,Treatment,Trial,Date,Time,Tank,Weight,Tubefeet,Spines,LossofAdhesion,TubeProb,SpineProb,Cage Rotations,TagColour,Spine,Test,Notes
1,27,1,04/06/2026,Morning,3,44.54,32.4,33.4,36.4,1,1,1,Purple,WP,G,
2,27,1,04/06/2026,Morning,3,61.43,33.6,34.9,36.4,1,1,4,Yellow,G,G,
3,27,1,04/06/2026,Morning,3,55.8,32.3,NA,35.6,1,0,1,Blue,WP,G,
4,27,1,04/06/2026,Morning,3,69.17,NA,NA,35,0,0,1,Orange,GR,GW,
5,27,1,04/06/2026,Morning,3,38.77,30.8,NA,35.9,1,0,2,Red,R,D,
6,27,1,04/06/2026,Morning,3,48.71,33.11,NA,33.4,1,0,2,Gold,GR,GW,
7,27,1,04/06/2026,Morning,3,48.03,33.6,34.4,34.4,1,1,3,Brown,R,D,
8,27,1,04/06/2026,Morning,3,43.21,33.8,NA,35.8,1,0,2,Pink,R,D,
9,27,1,04/06/2026,Morning,3,42.66,30.8,34,35.4,1,1,3,Black,G,GR,
10,27,1,04/06/2026,Morning,3,47.23,33.8,NA,36.6,1,0,3,Green,G,G,
1,21,1,04/06/2026,Afternoon,8,37.27,31.3,32.9,32.9,1,1,1,Pink,R,D,
2,21,1,04/06/2026,Afternoon,8,36.8,30.8,32,34.2,1,1,3,Black,P,G,
3,21,1,04/06/2026,Afternoon,8,63.72,29,NA,32.8,1,0,1,Brown,P,W,
4,21,1,04/06/2026,Afternoon,8,55.63,30.9,NA,33.7,1,0,6,Gold,P,GW,
5,21,1,04/06/2026,Afternoon,8,36.06,24.8,NA,33.5,1,0,2,Green,P,G,
6,21,1,04/06/2026,Afternoon,8,56.61,26.1,26.7,31.3,1,1,3,Red,P,G,
7,21,1,04/06/2026,Afternoon,8,54.23,NA,NA,32.2,0,0,3,Yellow,W,G,
8,21,1,04/06/2026,Afternoon,8,59.06,28.1,NA,32.9,1,0,1,Orange,G,G,
9,21,1,04/06/2026,Afternoon,8,37.5,NA,31.1,32.3,0,1,4,Purple,G,D,
10,21,1,04/06/2026,Afternoon,8,44.45,33.5,NA,34.9,1,0,2,Blue,W,G,
