UrchinID,Tank,Treatment,Date,Week,Weight_g,Length_mm,Min,Sec,Righting_time_s,Colour,ExpPhase
1,5,8,30/10/2025,1,14.16,31.5,0,49,49,NA,BeforeCTmax
2,5,8,30/10/2025,1,9.72,24,0,37,37,NA,BeforeCTmax
3,5,8,30/10/2025,1,9.42,30,1,11,71,NA,BeforeCTmax
4,5,8,30/10/2025,1,15.23,32.5,3,4,184,NA,BeforeCTmax
5,5,8,30/10/2025,1,10.48,30.5,0,43,43,NA,BeforeCTmax
6,5,8,30/10/2025,1,9.64,29.5,0,59,59,NA,BeforeCTmax
7,5,8,30/10/2025,1,14.01,32,0,52,52,NA,BeforeCTmax
8,5,8,30/10/2025,1,10.49,32.5,5,15,315,NA,BeforeCTmax
9,5,8,30/10/2025,1,9.22,21.5,0,45,45,NA,BeforeCTmax
10,5,8,30/10/2025,1,13.77,31,0,58,58,NA,BeforeCTmax
11,8,14,30/10/2025,1,14.62,32.5,0,21,21,NA,BeforeCTmax
12,8,14,30/10/2025,1,11.83,30.5,5,15,315,NA,BeforeCTmax
13,8,14,30/10/2025,1,11.12,30.5,1,23,83,NA,BeforeCTmax
14,8,14,30/10/2025,1,5.92,23,0,48,48,NA,BeforeCTmax
15,8,14,30/10/2025,1,11.15,27,8,40,520,NA,BeforeCTmax
16,8,14,30/10/2025,1,12.1,30.5,0,42,42,NA,BeforeCTmax
17,8,14,30/10/2025,1,7.4,26,3,2,182,NA,BeforeCTmax
18,8,14,30/10/2025,1,14.07,33,1,58,118,NA,BeforeCTmax
19,8,14,30/10/2025,1,9.55,26.5,0,31,31,NA,BeforeCTmax
20,8,14,30/10/2025,1,8.13,27,0,39,39,NA,BeforeCTmax
21,9,8,31/10/2025,1,NA,NA,NA,NA,NA,NA,BeforeCTmax
22,9,8,31/10/2025,1,5.92,24,1,32,92,NA,BeforeCTmax
23,9,8,31/10/2025,1,20.67,36,1,60,120,NA,BeforeCTmax
24,9,8,31/10/2025,1,8.67,28,1,54,114,NA,BeforeCTmax
25,9,8,31/10/2025,1,8.16,27.5,1,45,105,NA,BeforeCTmax
26,9,8,31/10/2025,1,10.02,29,0,29,29,NA,BeforeCTmax
27,9,8,31/10/2025,1,17.15,37,0,46,46,NA,BeforeCTmax
28,9,8,31/10/2025,1,5.91,24,0,40,40,NA,BeforeCTmax
29,9,8,31/10/2025,1,6.44,26.5,0,57,57,NA,BeforeCTmax
30,9,8,31/10/2025,1,6.7,24.5,1,13,73,NA,BeforeCTmax
31,10,14,31/10/2025,1,7.23,27.5,0,46,46,NA,BeforeCTmax
32,10,14,31/10/2025,1,6.4,23,0,59,59,NA,BeforeCTmax
33,10,14,31/10/2025,1,21.02,36.5,1,41,101,NA,BeforeCTmax
34,10,14,31/10/2025,1,9.8,27,2,43,163,NA,BeforeCTmax
35,10,14,31/10/2025,1,7.54,25,2,22,142,NA,BeforeCTmax
36,10,14,31/10/2025,1,18.01,38.5,0,39,39,NA,BeforeCTmax
37,10,14,31/10/2025,1,6.51,25.5,0,38,38,NA,BeforeCTmax
38,10,14,31/10/2025,1,6.44,25.5,0,11,11,NA,BeforeCTmax
39,10,14,31/10/2025,1,22.86,39.5,0,50,50,NA,BeforeCTmax
40,10,14,31/10/2025,1,7.05,26.5,0,41,41,NA,BeforeCTmax
1,5,8,06/11/2025,2,10.72,30,0,37,37,NA,BeforeCTmax
2,5,8,06/11/2025,2,14.94,33,0,3,3,NA,BeforeCTmax
3,5,8,06/11/2025,2,10.41,27.5,4,23,263,NA,BeforeCTmax
4,5,8,06/11/2025,2,10.41,31,0,40,40,NA,BeforeCTmax
5,5,8,06/11/2025,2,10.39,29.5,0,48,48,NA,BeforeCTmax
6,5,8,06/11/2025,2,9.36,28.5,1,27,87,NA,BeforeCTmax
7,5,8,06/11/2025,2,14.12,32,0,50,50,NA,BeforeCTmax
8,5,8,06/11/2025,2,15.7,34,1,7,67,NA,BeforeCTmax
9,5,8,06/11/2025,2,9.74,29,0,42,42,NA,BeforeCTmax
10,5,8,06/11/2025,2,13.76,32,2,58,178,NA,BeforeCTmax
11,8,14,06/11/2025,2,11.35,29.5,1,58,118,NA,BeforeCTmax
12,8,14,06/11/2025,2,12.68,30.5,0,43,43,NA,BeforeCTmax
13,8,14,06/11/2025,2,10.12,27.5,7,8,428,NA,BeforeCTmax
14,8,14,06/11/2025,2,12.68,31,1,1,61,NA,BeforeCTmax
15,8,14,06/11/2025,2,8.98,26.5,1,6,66,NA,BeforeCTmax
16,8,14,06/11/2025,2,15.4,34,0,32,32,NA,BeforeCTmax
17,8,14,06/11/2025,2,14.54,32.5,0,44,44,NA,BeforeCTmax
18,8,14,06/11/2025,2,8.09,26,1,1,61,NA,BeforeCTmax
19,8,14,06/11/2025,2,6.2,22.5,0,42,42,NA,BeforeCTmax
20,8,14,06/11/2025,2,11.69,30.5,0,36,36,NA,BeforeCTmax
21,9,8,07/11/2025,2,20.89,39,0,52,52,NA,BeforeCTmax
22,9,8,07/11/2025,2,NA,NA,NA,NA,NA,NA,BeforeCTmax
23,9,8,07/11/2025,2,6.22,24,0,30,30,NA,BeforeCTmax
24,9,8,07/11/2025,2,7.34,25.5,0,59,59,NA,BeforeCTmax
25,9,8,07/11/2025,2,10.5,31,0,33,33,NA,BeforeCTmax
26,9,8,07/11/2025,2,7,25,0,31,31,NA,BeforeCTmax
27,9,8,07/11/2025,2,9.07,30.5,0,37,37,NA,BeforeCTmax
28,9,8,07/11/2025,2,18.01,35,0,27,27,NA,BeforeCTmax
29,9,8,07/11/2025,2,8.79,29.5,1,2,62,NA,BeforeCTmax
30,9,8,07/11/2025,2,6.36,24,0,37,37,NA,BeforeCTmax
31,10,14,07/11/2025,2,7.54,27.5,0,50,50,NA,BeforeCTmax
32,10,14,07/11/2025,2,6.78,25,0,49,49,NA,BeforeCTmax
33,10,14,07/11/2025,2,7.64,25,1,45,105,NA,BeforeCTmax
34,10,14,07/11/2025,2,6.72,24,0,39,39,NA,BeforeCTmax
35,10,14,07/11/2025,2,23.65,39,0,59,59,NA,BeforeCTmax
36,10,14,07/11/2025,2,6.72,25,2,40,160,NA,BeforeCTmax
37,10,14,07/11/2025,2,18.64,38,0,56,56,NA,BeforeCTmax
38,10,14,07/11/2025,2,20.96,37.5,0,47,47,NA,BeforeCTmax
