UrchinID,Tank,Treatment,Date,Week,Weight_g,min,sec,Righting_time,Colour,ExpPhase,Tag,Notes
1,3,27,04/05/2026,1,69.53,,,408,Light,Pre,,
2,3,27,04/05/2026,1,49.1,3,10,190,Light,Pre,,
3,3,27,04/05/2026,1,48.06,3,20,200,Dark,Pre,,
4,3,27,04/05/2026,1,43.56,2,12,132,Light,Pre,,
5,3,27,04/05/2026,1,43.76,,56,56,Dark,Pre,,
6,3,27,04/05/2026,1,56.72,6,,360,Light,Pre,,
7,3,27,04/05/2026,1,47.06,3,52,232,Light,Pre,,
8,3,27,04/05/2026,1,38.13,2,44,164,Dark,Pre,,
9,3,27,04/05/2026,1,39.09,1,40,100,Dark,Pre,,
10,3,27,04/05/2026,1,50,,50,50,Dark,Pre,,
11,3,27,04/05/2026,1,43.87,1,39,99,Light,Pre,,
12,3,27,04/05/2026,1,60.5,3,1,181,Dark,Pre,,
1,8,21,04/05/2026,1,57.18,1,33,93,Dark,Pre,,
2,8,21,04/05/2026,1,37.88,1,46,106,Light,Pre,,
3,8,21,04/05/2026,1,44,1,39,99,Light,Pre,,
4,8,21,04/05/2026,1,37.48,1,48,108,Light,Pre,,
5,8,21,04/05/2026,1,64.14,2,44,164,Light,Pre,,
6,8,21,04/05/2026,1,55.77,3,2,182,Light,Pre,,
7,8,21,04/05/2026,1,59.33,2,52,172,Light,Pre,,
8,8,21,04/05/2026,1,38,1,31,91,Light,Pre,,
9,8,21,04/05/2026,1,41.26,1,33,93,Light,Pre,,
10,8,21,04/05/2026,1,35.1,1,26,86,Dark,Pre,,
11,8,21,04/05/2026,1,52.33,2,44,164,Light,Pre,,
12,8,21,04/05/2026,1,41.52,4,30,270,Light,Pre,,
1,9,27,05/05/2026,1,49.31,5,26,326,Dark,Pre,,
2,9,27,05/05/2026,1,35.97,2,7,127,Light,Pre,,
3,9,27,05/05/2026,1,55.91,2,56,176,Light,Pre,,
4,9,27,05/05/2026,1,49.37,3,9,189,Dark,Pre,,
5,9,27,05/05/2026,1,48.95,2,26,146,Dark,Pre,,
6,9,27,05/05/2026,1,34.47,3,25,205,Dark,Pre,,
7,9,27,05/05/2026,1,25.89,8,30,510,Light,Pre,,
8,9,27,05/05/2026,1,41.26,5,21,321,Dark,Pre,,
9,9,27,05/05/2026,1,47.33,3,15,195,Light,Pre,,
10,9,27,05/05/2026,1,54.36,1,54,114,Dark,Pre,,
11,9,27,05/05/2026,1,37.63,2,39,159,Light,Pre,,
12,9,27,05/05/2026,1,60.01,1,50,110,Dark,Pre,,
1,10,21,05/05/2026,1,20.43,3,10,190,Light,Pre,,
2,10,21,05/05/2026,1,66.63,2,49,169,Light,Pre,,
3,10,21,05/05/2026,1,41.45,1,51,111,Dark,Pre,,
4,10,21,05/05/2026,1,54.24,4,5,245,Dark,Pre,,
5,10,21,05/05/2026,1,42.1,2,10,130,Dark,Pre,,
6,10,21,05/05/2026,1,38.07,1,10,70,Dark,Pre,,
7,10,21,05/05/2026,1,41.38,3,52,232,Dark,Pre,,
8,10,21,05/05/2026,1,59.34,1,1,61,Dark,Pre,,
9,10,21,05/05/2026,1,42.82,1,4,64,Dark,Pre,,
10,10,21,05/05/2026,1,41.51,2,46,166,Light,Pre,,
11,10,21,05/05/2026,1,33.86,1,49,109,Light,Pre,,
12,10,21,05/05/2026,1,43.43,2,23,143,Dark,Pre,,
13,10,21,05/05/2026,1,43.75,1,54,114,Dark,Pre,,
1,3,27,11/05/2026,2,,1,57,117,Dark,Exp,,
2,3,27,11/05/2026,2,,1,45,105,Light,Exp,,
3,3,27,11/05/2026,2,,1,38,98,Light,Exp,,
4,3,27,11/05/2026,2,,1,12,72,Dark,Exp,,
5,3,27,11/05/2026,2,,2,0,120,Dark,Exp,,
6,3,27,11/05/2026,2,,1,13,73,Dark,Exp,,
7,3,27,11/05/2026,2,,1,31,91,Dark,Exp,,
8,3,27,11/05/2026,2,,1,29,89,Dark,Exp,,
9,3,27,11/05/2026,2,,2,49,169,Light,Exp,,
10,3,27,11/05/2026,2,,0,45,45,Light,Exp,,
11,3,27,11/05/2026,2,,2,10,130,Light,Exp,,
12,3,27,11/05/2026,2,,1,22,82,Light,Exp,,
1,8,21,11/05/2026,2,,1,43,103,Light,Exp,,
2,8,21,11/05/2026,2,,2,10,130,Light,Exp,,
3,8,21,11/05/2026,2,,3,44,224,Light,Exp,,
4,8,21,11/05/2026,2,,1,45,105,Light,Exp,,
5,8,21,11/05/2026,2,,1,29,89,Dark,Exp,,
6,8,21,11/05/2026,2,,1,55,115,Light,Exp,,
7,8,21,11/05/2026,2,,3,14,194,Light,Exp,,
8,8,21,11/05/2026,2,,8,22,502,Dark,Exp,,
9,8,21,11/05/2026,2,,1,25,85,Light,Exp,,
10,8,21,11/05/2026,2,,2,56,176,Dark,Exp,,
11,8,21,11/05/2026,2,,3,17,197,Light,Exp,,
12,8,21,11/05/2026,2,,1,34,94,Light,Exp,,
1,9,27,12/05/2026,2,,1,2,62,Light,Exp,,
2,9,27,12/05/2026,2,,1,48,108,Light,Exp,,
3,9,27,12/05/2026,2,,2,32,152,Dark,Exp,,
4,9,27,12/05/2026,2,,8,30,510,Light,Exp,,
5,9,27,12/05/2026,2,,4,4,244,Dark,Exp,,
6,9,27,12/05/2026,2,,1,57,117,Dark,Exp,,
7,9,27,12/05/2026,2,,9,21,561,Dark,Exp,,
8,9,27,12/05/2026,2,,3,28,208,Dark,Exp,,
9,9,27,12/05/2026,2,,2,28,148,Dark,Exp,,
10,9,27,12/05/2026,2,,2,54,174,Light,Exp,,
11,9,27,12/05/2026,2,,2,52,172,Dark,Exp,,
12,9,27,12/05/2026,2,,2,58,178,Dark,Exp,,
1,10,21,12/05/2026,2,,2,5,125,Light,Exp,,
2,10,21,12/05/2026,2,,2,8,128,Dark,Exp,,
3,10,21,12/05/2026,2,,2,21,141,Light,Exp,,
4,10,21,12/05/2026,2,,4,21,261,Light,Exp,,
